"baker_name","series","episode","result","technical","signature_bake","show_stopper","baker_age","baker_occupation","hometown"
"Annetha Mills",1,1,"IN",2,"Light Jamaican Black Cakewith Strawberries and Cream","Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",30,"Midwife","Essex"
"Annetha Mills",1,2,"OUT",7,"Rose Petal Shortbread","Pink Swirl Macarons / Eclairs",30,"Midwife","Essex"
"David Chambers",1,1,"IN",3,"Chocolate Orange Cake","Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",31,"Entrepreneur","Milton Keynes"
"David Chambers",1,2,"IN",8,"Cheddar Cheese and Fresh Rosemary Biscuits","Choux Pastry Swans  Chocolate Profiteroles",31,"Entrepreneur","Milton Keynes"
"David Chambers",1,3,"IN",4,"Chilli Bread","Walnut and Seed Roll
Red Berry and Almond Bun",31,"Entrepreneur","Milton Keynes"
"David Chambers",1,4,"OUT",5,"Pear and Walnut Pudding","Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",31,"Entrepreneur","Milton Keynes"
"Edd Kimber",1,1,"IN",1,"Caramel Cinnamon and Banana Cake",NA,24,"Debt collector for Yorkshire Bank","Bradford"
"Edd Kimber",1,2,"IN",6,"Oatmeal Raisin Cookie","Pink Macarons",24,"Debt collector for Yorkshire Bank","Bradford"
"Edd Kimber",1,3,"IN",1,"Olive Bread","Tomato and Mozzarella",24,"Debt collector for Yorkshire Bank","Bradford"
"Edd Kimber",1,4,"IN",3,"Apple and Plum Pudding","Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",24,"Debt collector for Yorkshire Bank","Bradford"
"Edd Kimber",1,5,"IN",2,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",24,"Debt collector for Yorkshire Bank","Bradford"
"Edd Kimber",1,6,"WINNER",NA,"Cinnamon and Banana Cake","",24,"Debt collector for Yorkshire Bank","Bradford"
"Jasminder Randhawa",1,1,"IN",NA,"Fresh Mango and Passion Fruit Hummingbird Cake",NA,45,"Assistant Credit Control Manager","Birmingham"
"Jasminder Randhawa",1,2,"IN",2,"Millionaires' Shortbread","Meringues with Chocolate and Space DustCoffee flavoured Eclairs",45,"Assistant Credit Control Manager","Birmingham"
"Jasminder Randhawa",1,3,"IN",5,"Focaccia","Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",45,"Assistant Credit Control Manager","Birmingham"
"Jasminder Randhawa",1,4,"IN",2,"Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce","Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",45,"Assistant Credit Control Manager","Birmingham"
